,text,emotion_ids,comment_id,split
48837,Is this in New Orleans?? I really feel like this is New Orleans.,27,edgurhb,1
48838,"You know the answer man, you are programmed to capture those codes they send you, don’t avoid them!",4 27,ee84bjg,1
48839,I've never been this sad in my life!,25,edcu99z,1
48840,"The economy is heavily controlled and subsidized by the government. In any case, I was poking at the lack of nuance in US politics today",4 27,edc32e2,1
48841,He could have easily taken a real camera from a legitimate source and change the price in Word/Photoshop and then print it out.,20,eepig6r,1
48842,"Thank you for your vote of confidence, but we statistically can't get to 10 wins.",15,eczm50f,1
48843,"Wah Mum other people call me on my bullshit and I can't ban them , Go out side son.",2,ed4yr9r,1
48844,There it is!,27,ede4v0m,1
48845,At least now [NAME] has more time to gain his confidence,20,eekez9p,1
48846,Good. We don't want more thrash liberal offspring in this world.,10,ee0fxpu,1
0,My favourite food is anything I didn't have to cook myself.,27,eebbqej,0
1,"Now if he does off himself, everyone will think hes having a laugh screwing with people instead of actually dead",27,ed00q6i,0
2,WHY THE FUCK IS BAYLESS ISOING,2,eezlygj,0
3,To make her feel threatened,14,ed7ypvh,0
4,Dirty Southern Wankers,3,ed0bdzj,0
5,OmG pEyToN iSn'T gOoD eNoUgH tO hElP uS iN tHe PlAyOfFs! Dumbass Broncos fans circa December 2015.,26,edvnz26,0
6,Yes I heard abt the f bombs! That has to be why. Thanks for your reply:) until then hubby and I will anxiously wait 😝,15,ee3b6wu,0
7,We need more boards and to create a bit more space for [NAME]. Then we’ll be good.,8 20,ef4qmod,0
8,Damn youtube and outrage drama is super lucrative for reddit,0,ed8wbdn,0
9,It might be linked to the trust factor of your friend.,27,eczgv1o,0
43410,"I’m really sorry about your situation :( Although I love the names Sapphira, Cirilla, and Scarlett!",25,eecwqtt,2
43411,It's wonderful because it's awful. At not with.,0,ed5f85d,2
43412,"Kings fan here, good luck to you guys! Will be an interesting game to watch! ",13,een27c3,2
43413,"I didn't know that, thank you for teaching me something today!",15,eelgwd1,2
43414,They got bored from haunting earth for thousands of years and ultimately moved on to the afterlife.,27,eem5uti,2
43415,Thank you for asking questions and recognizing that there may be things that you don’t know or understand about police tactics. Seriously. Thank you.,15,ef2nq7i,2
43416,You’re welcome,15,efdbh17,2
43417,100%! Congrats on your job too!,15,ef0ec3b,2
43418,I’m sorry to hear that friend :(. It’s for the best most likely if she didn’t accept you for who you are,24,ee8utmi,2
43419,"Girlfriend weak as well, that jump was pathetic.",25,eeni74k,2
